"","Date","^GSPC","AAPL","AMZN","BA","COST","CVX","DIS","ELY","FL","GILD","GS","HD","JCP","LMT","M","MMM","PG","S","SBUX","SHOO","SMRT","TM","YUM","K","C","XOM","IBM","F","CAT","MCD","COKE"
"1","2015-02-01",2104.5,117.751808,380.160004,130.925522,129.283676,85.940552,97.003952,8.843516,48.901981,89.853127,174.982361,101.809654,8.5,173.826385,47.647457,146.035599,72.314552,5.12,42.626797,23.43491,10.327823,115.563507,52.196384,54.495201,48.249069,71.952782,129.145798,12.307016,69.389626,85.569275,101.503174
"2","2015-03-01",2067.889893,114.507881,372.100006,131.062851,138.023743,85.401924,97.758888,9.374719,54.848228,85.166489,173.84845,100.798195,8.41,177.655701,48.537296,143.720108,69.604774,4.74,43.336098,24.391308,7.821253,119.42215,50.658344,55.737553,47.420681,69.595909,128.895309,12.15638,66.98735,85.038704,109.933403
"3","2015-04-01",2085.51001,115.170479,421.779999,125.17688,130.325378,90.34803,101.328491,9.533084,51.75758,87.232086,181.66362,95.404282,8.3,163.335419,48.567688,136.261826,67.540581,5.13,45.377064,25.046021,10.744374,120.371689,55.317478,53.931332,49.077457,71.536407,137.560608,11.9003,72.720993,84.261971,109.875069
"4","2015-05-01",2107.389893,119.891411,429.230011,122.714241,130.261688,83.791176,102.866318,9.296723,55.249386,97.438538,190.699646,99.363846,8.59,164.735931,50.3111,138.605621,67.12471,4.65,47.555294,24.250092,9.645414,119.39328,58.41362,53.454441,49.776989,69.759659,136.243515,11.533515,72.007111,83.720886,110.672119
"5","2015-06-01",2063.110107,115.910301,434.089996,121.91864,123.382713,79.260979,106.380013,8.813374,58.580082,101.613106,193.706589,99.105225,8.47,164.008331,50.701881,135.29097,66.996277,4.56,49.230713,27.459475,9.509179,115.808617,58.394176,53.811787,50.892868,68.685532,132.632507,11.41187,71.585136,83.69136,147.215271
"6","2015-07-01",2103.840088,112.09375,536.150024,126.708534,132.737366,72.696312,111.841606,9.030256,61.674747,102.660606,190.255325,104.921158,8.24,182.711838,52.169292,132.695602,65.677582,3.37,53.187904,26.753412,9.321202,115.557541,56.89024,56.789879,53.859467,65.391632,132.086212,11.27502,66.360977,87.908081,157.866364
"7","2015-08-01",1972.180054,104.349785,512.890015,114.852417,127.941269,66.542419,95.505775,8.72465,62.105762,91.520035,175.541061,104.410133,9.11,177.488968,44.275158,124.629013,61.009575,5.06,51.369991,26.227072,9.824309,102.500366,52.03334,56.884281,49.313213,62.114201,120.589096,10.652895,64.444023,85.68087,152.09613
"8","2015-09-01",1920.030029,102.389992,511.890015,115.823997,132.433594,65.62542,95.805756,8.240816,63.140999,85.527283,161.762894,103.540504,9.29,184.242371,38.76815,125.169655,62.105988,3.84,52.33102,23.505516,8.854685,102.881363,52.150742,57.543152,45.744743,61.953758,119.18943,10.422478,55.670918,87.501419,188.746399
"9","2015-10-01",2079.360107,110.930237,625.900024,130.966507,144.846054,75.609001,106.623749,9.819896,59.438694,94.556297,174.55426,111.411659,9.17,195.369293,38.750214,138.801773,65.939049,4.73,57.606472,22.369394,8.167101,107.650444,46.254028,60.975845,49.027374,68.944901,115.169029,11.374865,62.169838,99.685722,206.149185
"10","2015-11-01",2080.409912,109.816284,664.799988,128.649109,147.869064,75.97506,106.370651,9.948195,57.23048,92.658684,176.900253,120.638893,7.97,194.773834,29.704948,138.245544,65.190147,3.65,56.520077,20.475861,7.125473,109.230705,47.734146,59.462677,49.921299,68.044983,114.626411,11.118204,62.571785,101.381943,189.256882
