"AAPL","VOXX","UEIC","IRBT","LPL","TXN","NVDA","INTC","QCOM","AMD","MU","TSM","TECH","ALXN","VRTX","REGN","NVAX","GOOGL","SSTK","FB","ZG","MTCH","ANGI","JNJ","PFE","AZN","BIIB","NVS","MRK","HZNP"
14.136668,9.66,19.1,22.879999,13.36,26.518103,11.344727,16.5431,51.405907,2.6,7.56,13.650681,65.627037,93.989998,44.779999,173.940002,35.799999,378.223236,23.388142,30.98,11.799189,10.698062,12.55,58.873264,19.204977,16.914412,156.080002,44.344654,33.391624,2.13
13.699365,9.95,19.540001,21.440001,13.9,27.776854,11.714862,16.417292,51.110023,2.49,8.38,14.043121,62.248646,86.739998,46.82,167,36.400002,401.001007,30.220116,27.25,13.395697,10.568392,17.059999,60.617485,19.436745,15.952488,166.339996,44.331573,32.990147,2.11
13.818541,10.71,23.25,25.66,14.59,28.623957,11.945004,17.35667,52.122265,2.55,9.98,13.227465,62.392593,92.139999,54.970001,176.399994,45.599998,397.492493,41.696339,25.58,17.047085,11.652922,19.76,65.453621,20.494869,18.278713,192.619995,48.351158,34.12508,2.71
13.822287,9.53,22.98,29.09,13.72,29.212894,12.820166,19.033524,48.14138,2.82,9.42,14.681794,58.981003,98,76.82,215.139999,47,412.697693,38.655788,27.77,18.344248,12.276255,24.24,68.424034,20.643988,18.988213,218.929993,50.061501,36.636608,2.4
14.039246,11.12,26.700001,33.790001,13.72,29.197266,13.47188,19.295782,49.61063,4,11.68,14.35861,61.16037,97.580002,80.330002,241.880005,38.200001,436.046051,43.88406,24.35,17.505457,12.643993,23.459999,67.581085,19.337326,18.743181,237.490005,48.704086,36.40276,2.37
12.46043,12.27,28.129999,39.77,11.87,28.335409,13.13794,19.437439,47.742813,4.08,14.33,14.096985,63.814762,92.239998,80.059998,224.880005,41,440.625641,51.707909,24.879999,17.555347,12.470496,26.559999,69.447975,20.057056,17.298586,215.199997,47.991436,36.207893,2.46
14.220158,13.55,30.83,34.959999,12.39,31.85598,13.512237,18.72348,50.73439,3.77,13.24,13.065871,68.11956,116.190002,79.800003,270.059998,53.799999,444.319305,49.269913,36.799999,23.037106,13.264645,22.02,75.627579,20.930656,18.549349,218.130005,48.602276,37.893482,2.52
15.310246,12.16,30.16,32.669998,12.98,31.283148,13.802319,17.632481,52.086052,3.27,13.57,13.098107,71.602211,107.760002,75.150002,242.309998,63,423.873871,46.016148,41.290001,30.074837,12.866261,20.959999,69.89283,20.365,17.997108,213.020004,49.532104,37.201225,2.53
15.08016,13.7,36.029999,37.650002,11.93,32.994724,14.633692,18.566465,53.182365,3.81,17.469999,13.414485,74.245552,116.160004,75.82,312.869995,63,438.393402,67.411247,50.23,26.286249,14.397641,22.49,70.647614,20.740393,19.330273,240.759995,52.06369,37.452953,3.35
16.533607,15.51,38.91,33.869999,11.7,34.4688,14.285721,19.822048,54.896656,3.34,17.68,14.561364,81.043182,122.949997,71.349998,287.600006,62,515.805786,65.631424,50.209999,24.830059,14.060544,14.08,75.472084,22.155331,19.676453,244.190002,52.633808,35.79026,4.19
17.589146,17.84,38.009998,33.209999,11.59,35.473518,14.671314,19.311716,58.12772,3.64,21.1,14.023519,79.32756,124.5,69.419998,293.859985,74.400002,530.325317,68.579269,47.009998,24.515123,15.066563,13.02,77.142723,22.906111,21.288239,290.970001,53.699379,39.552639,7.22
